"","Country.Name","Region","IncomeGroup","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1","Aruba","Latin America & Caribbean","High income",98.79692078,98.79692078,98.79692078,98.79692078,98.79692078,98.79692078,98.79692078,98.79692078,98.79692078,98.79692078,98.79692078,98.79692078,98.79692078,98.79692078,98.79692078,98.79692078,98.79692078,98.79692078,98.79692078,98.79692078,98.79692078,98.79692078,98.79692078,98.79692078,98.79692078,98.79692078,98.79692078,98.79692078,98.79692078,98.79692078,98.79692078,98.79692078,98.79692078,98.79692078,98.79692078,98.79692078,98.79692078,98.79692078,98.79692078,98.79692078,96.51616669,97.97286987,100.5206833,99.09117126,97.25244141,95.9417572,97.35636902,102.5597534,94.64913177,96.73602295,95.82353973,97.02787781,111.1597672,111.1597672,111.1597672,111.1597672,111.1597672,111.1597672,111.1597672,111.1597672,111.1597672
"2","Afghanistan","South Asia","Low income",8.306420326,8.306420326,8.306420326,8.306420326,8.306420326,8.306420326,8.306420326,8.306420326,8.306420326,8.306420326,8.306420326,9.315270424,10.30276012,10.77583027,10.91069031,11.37271023,12.27649021,13.13156033,13.82176018,15.29301548,16.76427078,19.32814026,10.59393024,11.48250532,12.3710804,13.10009956,12.09805012,12.64994526,13.2018404,12.65581036,10.84996033,15.5900898,15.50703001,15.42397022,21.44198036,20.82245064,19.406145575,17.98984051,16.573535445,15.15723038,13.740925315,12.32462025,12.43675518,12.54889011,17.5680809,18.61680984,28.25587082,28.49333954,38.19398117,44.42037964,50.5672493,51.75690842,53.61804962,53.57513046,52.582901,51.66994858,51.65594101,53.64319992,55.42520905,55.42520905,55.42520905
"3","Angola","Sub-Saharan Africa","Lower middle income",5.767479897,5.767479897,5.767479897,5.767479897,5.767479897,5.767479897,5.767479897,5.767479897,5.767479897,5.767479897,5.767479897,5.767479897,6.34224987,7.056640148,7.267524147,7.478408146,7.689292145,7.900176144,8.111060143,9.3975000365,10.68393993,13.76513958,9.689319611,8.707209587,10.65703964,8.989850044,10.12963963,9.746310234,8.178429604,9.058750153,8.403450012,8.934370041,10.09932995,10.21932157,10.33931319,10.45930481,10.57929643,10.69928805,10.81927967,10.74742985,12.26628017,13.85371971,14.98359013,16.0345683133333,17.0855464966667,18.13652468,19.1875028633333,20.2384810466667,21.28945923,22.69255066,26.25922012,26.48254013,31.320327758,36.158115386,40.995903014,45.833690642,50.67147827,50.67147827,50.67147827,50.67147827,50.67147827
"4","Albania","Europe & Central Asia","Upper middle income",84.97425842,84.97425842,84.97425842,84.97425842,84.97425842,84.97425842,84.97425842,84.97425842,84.97425842,84.97425842,84.97425842,84.97425842,84.97425842,84.97425842,84.97425842,84.97425842,84.97425842,85.74204254,86.50982666,88.25524902,90.19371033,91.18641663,87.04559326,82.00112152,82.24952698,85.28296661,88.39248657,87.83217621,88.60356903,88.80329895,90.08174133,90.89363098,77.71475983,70.33512115,68.72905731,68.67848969,67.86755371,69.36618042,71.31360626,71.5446701,71.07807922,72.53716278,72.86855316,75.24343872,74.80220795,77.90939331,79.18955231,82.20059204,84.12509155,85.69499207,88.10388947,89.79815674,92.28983307,96.25608063,97.68486786,97.38848114,95.71499634,95.26589203,95.43232727,95.08659363,95.08659363
"5","Andorra","Europe & Central Asia","High income",15.36828995,15.36828995,15.36828995,15.36828995,15.36828995,15.36828995,15.36828995,15.36828995,15.36828995,15.36828995,15.36828995,15.36828995,14.71605968,13.81630993,17.33540916,25.93453026,34.13827133,36.3242280128571,38.5101846957143,40.6961413785714,42.8820980614286,45.0680547442857,47.2540114271429,49.43996811,49.43996811,49.43996811,49.43996811,49.43996811,49.43996811,49.43996811,49.43996811,49.43996811,49.43996811,49.43996811,49.43996811,49.43996811,49.43996811,49.43996811,49.43996811,49.43996811,49.43996811,49.43996811,49.43996811,49.43996811,49.43996811,49.43996811,49.43996811,49.43996811,49.43996811,49.43996811,49.43996811,49.43996811,49.43996811,49.43996811,49.43996811,49.43996811,49.43996811,49.43996811,49.43996811,49.43996811,49.43996811
"6","Arab World","","",26.07959,26.07959,26.07959,26.07959,26.07959,26.07959,26.07959,26.07959,26.07959,26.07959,26.07959,26.23578,26.68959,27.6599,28.63415,30.19063,31.92165,33.94915,35.9055,37.4707,38.71899,39.61999,41.23593,42.45932,43.87358,45.48859,47.50054,48.7597,49.29458,50.0426,52.89913,52.97851,51.7615,52.43686,54.45597,54.44493,54.39281,55.75329,57.20931,58.74999,60.0535,61.51705,62.5932,64.30119,65.96912,65.82756,65.49966,64.36051,64.71997,66.2956,67.28549,69.58947,70.49937,69.19179,69.76124,70.56935,70.79039,71.27309,71.87227,72.5552,72.5552
"7","United Arab Emirates","Middle East & North Africa","High income",19.33243942,19.33243942,19.33243942,19.33243942,19.33243942,19.33243942,19.33243942,19.33243942,19.33243942,19.33243942,19.33243942,19.33243942,20.2607708,19.43058014,17.11923027,20.25925064,29.18272972,30.66062927,32.23854065,37.28166962,44.66725922,52.5365715,55.81095886,59.12768936,63.55963898,66.25673676,67.41887665,59.95046997,57.76147842,58.35514832,60.82873154,65.48999023,68.19394684,72.10059357,77.72505951,81.7537384,80.410762785,79.06778717,79.17507935,80.0733133994444,80.9715474488889,81.8697814983333,82.7680155477778,83.6662495972222,84.5644836466667,85.4627176961111,86.3609517455556,87.259185795,88.1574198444444,89.0556538938889,89.9538879433333,90.8521219927778,91.7503560422222,92.6485900916667,93.5468241411111,94.4450581905556,95.34329224,104.9479294,104.9479294,104.9479294,104.9479294
"8","Argentina","Latin America & Caribbean","Upper middle income",44.81985092,44.81985092,44.81985092,44.81985092,44.81985092,44.81985092,44.81985092,44.81985092,44.81985092,44.81985092,44.81985092,45.82767105,47.54899979,49.91176987,52.63312912,54.19427872,55.63600922,55.54570007,55.44947815,55.26866913,56.16939163,57.42667007,59.16987991,59.78237915,65.27954102,70.21240997,70.09198761,69.81562805,70.3232193,70.906398775,71.48957825,72.31278992,71.4236704533333,70.5345509866667,69.64543152,74.258140565,78.87084961,75.34275818,81.25853729,92.60516357,95.93660736,96.84546661,95.89910126,94.96169281,94.50717163,92.76067352,91.81352997,91.91613007,93.23705292,96.61971283,99.50125885,101.5350037,103.4764786,105.0414124,106.0355606,106.9464722,108.4623337,108.7335968,108.7335968,108.7335968,108.7335968
"9","Armenia","Europe & Central Asia","Upper middle income",92.10370636,92.10370636,92.10370636,92.10370636,92.10370636,92.10370636,92.10370636,92.10370636,92.10370636,92.10370636,92.10370636,92.10370636,92.10370636,92.10370636,92.10370636,92.10370636,92.10370636,92.10370636,92.10370636,92.10370636,92.10370636,92.10370636,92.10370636,92.10370636,92.10370636,92.10370636,92.10370636,92.10370636,92.10370636,92.10370636,92.10370636,92.10370636,92.32685852,94.74469757,96.62906647,94.98273468,93.33640289,93.23616028,80.43602753,80.05667877,92.1519928,88.28202057,88.6365915933333,88.9911626166667,89.34573364,92.05428314,94.94132996,96.42764282,94.97048187,100.125618,104.7133179,93.13488007,89.51621628,85.89755249,85.88350677,86.00588989,85.05415344,84.10241699,83.15068054,86.47232819,86.47232819
"10","American Samoa","East Asia & Pacific","Upper middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
