"","Country.Name","Region","IncomeGroup","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1","Aruba","Latin America & Caribbean","High income",28.07221985,28.07221985,28.07221985,28.07221985,28.07221985,28.07221985,28.07221985,28.07221985,28.07221985,28.07221985,28.07221985,28.07221985,28.07221985,28.07221985,28.07221985,28.07221985,28.07221985,28.07221985,28.07221985,28.07221985,28.07221985,28.07221985,28.07221985,28.07221985,28.07221985,28.07221985,28.07221985,28.07221985,28.07221985,28.07221985,28.07221985,28.07221985,28.07221985,28.07221985,28.07221985,28.07221985,28.07221985,28.07221985,28.07221985,28.07221985,29.65051079,29.05586052,26.68902016,26.75200081,26.30441093,31.68346977,30.90319061,33.91582108,35.24048996,35.36231995,37.34572983,38.72563934,37.76113129,16.19582939,16.4054203,15.27176952,15.59920979,15.59920979,15.59920979,15.59920979,15.59920979
"2","Afghanistan","South Asia","Low income",0.768769979,0.768769979,0.768769979,0.768769979,0.768769979,0.768769979,0.768769979,0.768769979,0.768769979,0.768769979,0.768769979,0.923879981,0.951129973,1.094589949,1.022600055,1.117319942,1.267570019,1.408220053,1.808330059,1.945639968,1.87138664733333,1.79713332666667,1.722880006,1.831010014,1.939140022,2.04727003,2.155400038,1.707739949,1.87562998133333,2.04352001366667,2.211410046,2.13378927376923,2.05616850153846,1.97854772930769,1.90092695707692,1.82330618484615,1.74568541261538,1.66806464038462,1.59044386815385,1.51282309592308,1.43520232369231,1.35758155146154,1.27996077923077,1.202340007,1.199370027,1.7144920352,2.2296140434,2.7447360516,3.2598580598,3.774980068,3.698620081,3.622260094,5.158400218,6.694540342,8.230680466,8.59461545975,8.9585504535,9.32248544725,9.686420441,9.686420441,9.686420441
"3","Angola","Sub-Saharan Africa","Lower middle income",0.583549976,0.583549976,0.583549976,0.583549976,0.583549976,0.583549976,0.583549976,0.583549976,0.583549976,0.583549976,0.583549976,0.583549976,0.583549976,0.583549976,0.583549976,0.583549976,0.583549976,0.583549976,0.583549976,0.583549976,0.583549976,0.583549976,0.583549976,0.583549976,0.583549976,0.583549976,0.583549976,0.583549976,0.583549976,0.548280001,0.553070009,0.545040011,0.505010009,0.512461672333333,0.519913335666667,0.527364999,0.534816662333333,0.542268325666667,0.549719989,0.498290002,0.569980005333333,0.641670008666667,0.713360012,2.63499999,1.975739956,2.438920021,2.379820108,3.1299160954,3.8800120828,4.6301080702,5.3802040576,6.130300045,7.484315157,8.838330269,8.619635105,8.400939941,9.336259842,9.336259842,9.336259842,9.336259842,9.336259842
"4","Albania","Europe & Central Asia","Upper middle income",13.90814018,13.90814018,13.90814018,13.90814018,13.90814018,13.90814018,13.90814018,13.90814018,13.90814018,13.90814018,13.90814018,13.90814018,14.92790985,13.4118281991667,11.8957465483333,10.3796648975,8.86358324666667,7.34750159583333,5.831419945,5.617413362,5.403406779,5.189400196,5.55776,5.926119804,6.559989929,7.025909901,7.221210003,7.326869965,7.737959862,8.148280144,8.366359711,8.855330467,9.287320137,11.1776104,10.63358021,10.20281982,10.93945026,12.69972038,13.55016994,14.74777031,15.53660965,15.90462971,16.31142998,16.65723991,19.89043999,23.18983078,26.63714027,30.68712997,32.09280014,33.38555145,44.54925156,49.87870026,59.25201035,64.63442993,65.78296661,62.00762177,58.3818512,57.3752594,54.96133041,59.7784996,59.7784996
"5","Andorra","Europe & Central Asia","High income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Arab World","","",5.964260101,5.964260101,5.964260101,5.964260101,5.964260101,5.964260101,5.964260101,5.964260101,5.964260101,5.964260101,5.964260101,5.982069969,6.234360218,6.596809864,7.001060009,7.550489902,8.215459824,8.864370346,9.308520317,9.351790428,9.695759773,10.27521038,10.64377022,10.81293964,11.08580017,11.07236958,11.36942005,11.39638042,11.38136959,11.03497028,11.0605402,10.7758503,11.4280901,12.34727955,12.9927702,13.8589201,14.78400993,15.75998974,16.53046036,17.93545914,18.18478966,18.78849983,19.60008049,19.60643005,20.77492905,21.83639908,22.34388924,22.94668007,23.70182991,24.39759064,25.06339073,24.50503922,25.87412071,27.4303894,28.61852074,30.12532997,30.88578987,31.76118088,32.17385101,32.59172821,32.59172821
"7","United Arab Emirates","Middle East & North Africa","High income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Argentina","Latin America & Caribbean","Upper middle income",13.24435043,13.24435043,13.24435043,13.24435043,13.24435043,13.24435043,13.24435043,13.24435043,13.24435043,13.24435043,13.24435043,15.30603027,16.48376083,19.61808014,22.74868965,26.97598076,27.07181931,24.07761955,21.3801899,22.2299099,21.73468971,23.10263062,23.82999992,24.83893013,28.6764698,35.49594879,37.42499161,39.22064972,38.9452648175,38.669879915,38.3944950125,38.11911011,37.7465171833333,37.3739242566667,37.00133133,39.491173745,41.98101616,44.470858575,46.96070099,48.83171844,53.96480942,59.0115509,62.74872971,65.1762619,65.48536682,63.96667099,66.96472931,66.41162872,68.05695343,70.20645905,73.23139954,76.29740143,77.44628906,78.22389984,80.99581146,84.0019989,87.21344757,89.95851898,89.95851898,89.95851898,89.95851898
"9","Armenia","Europe & Central Asia","Upper middle income",17.59959984,17.59959984,17.59959984,17.59959984,17.59959984,17.59959984,17.59959984,17.59959984,17.59959984,17.59959984,17.59959984,17.59959984,17.59959984,17.59959984,17.59959984,17.59959984,17.59959984,17.59959984,17.59959984,17.59959984,17.59959984,17.59959984,17.59959984,17.59959984,17.59959984,17.59959984,17.59959984,18.199154855,18.79870987,20.43589973,23.20482063,25.3567009,25.34211922,23.02763939,19.12430954,19.08213997,16.93857002,22.7202301,33.5735817,35.21240997,35.54978943,33.54529953,36.14685822,37.2188797,37.88314056,39.54676819,43.11534882,45.93093872,48.48933029,51.33459091,52.989151,53.33778,46.15803146,45.73738861,47.08219147,46.52180099,51.08018875,52.25152969,54.57048035,51.48752975,51.48752975
"10","American Samoa","East Asia & Pacific","Upper middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
